comp_no,version_id,description,interpretation,table_id,modification,data_type_code,data_structure,last_change,section
84,5,freetext,Bemerkung,0,O,TX,TX,7/8/00,
84,6,Assigning Facility,Ausstellungsort,0,O,HD,HD,9/1/03,
84,7,Assigning Facility,Ausstellungsort,0,O,HD,HD,10/28/07,
84,9,Quantity,Menge,0,O,NM,NM,3/18/14,
84,61,Assigning Facility,Ausstellungsort,0,O,HD,HD,5/10/07,
84,81,Quantity,Menge,0,O,NM,NM,3/29/13,
84,91,Quantity,Menge,0,O,NM,NM,11/2/14,
85,1,WHAT USER QUALIFIER,benutzerdefinierte Abfrage Spezifikation,0,O,ST,ST,,
85,2,body site,,0,O,CE,CE,,4-31
85,3,body site,,0,O,CE,CE,,
85,4,body site,,0,O,CE,CE,4/14/99,
85,5,body site,,163,O,CE,CE_0163,7/8/00,
85,6,Effective Date,Gültigkeitsbeginn,0,O,DT,DT,9/1/03,
85,7,Effective Date,Gültigkeitsbeginn,0,O,DT,DT,10/28/07,
85,9,Units,Einheit,9999,O,CWE,CWE,3/18/14,
85,61,Effective Date,Gültigkeitsbeginn,0,O,DT,DT,5/10/07,
85,81,Units,Einheit,9999,O,CWE,CWE,3/29/13,
85,91,Units,Einheit,9999,O,CWE,CWE,11/2/14,
86,1,OTHER QRY SUBJECT FILTER,weitere Abfrgae-Thema Spezifikation,0,O,ST,ST,,
86,2,site modifier,,0,O,CE,CE,,4-31
86,3,site modifier,,0,O,CE,CE,,
86,4,site modifier,,0,O,CE,CE,4/14/99,
86,5,site modifier,,0,O,CE,CE,7/8/00,
86,6,Expiration Date,Gültigkeitsende,0,O,DT,DT,9/1/03,
86,7,Expiration Date,Gültigkeitsende,0,O,DT,DT,10/28/07,
86,9,Channel Sensitivity,,0,O,NM,NM,3/18/14,
86,61,Expiration Date,Gültigkeitsende,0,O,DT,DT,5/10/07,
86,81,Channel Sensitivity,,0,O,NM,NM,3/29/13,
86,91,Channel Sensitivity,,0,O,NM,NM,11/2/14,
87,1,ACCIDENT DATE/TIME,,0,O,ST,ST,,
87,2,dollar amount,,0,O,ST,ST,,
87,3,dollar amount,,0,O,MO,MO,2/3/01,
87,4,dollar amount,,0,O,MO,MO,2/3/01,
87,5,dollar amount,,0,O,MO,MO,2/3/01,
87,6,Assigning Jurisdiction,ausgebende Körperschaft,0,O,CWE,CWE,9/1/03,
87,7,Assigning Jurisdiction,ausgebende Körperschaft,0,O,CWE,CWE,10/28/07,
87,9,Unit of Measure Identifier,,0,O,ST,ST,3/18/14,
87,61,Assigning Jurisdiction,ausgebende Körperschaft,0,O,CWE,CWE,5/10/07,
87,81,Unit of Measure Identifier,,0,O,ST,ST,3/29/13,
87,91,Unit of Measure Identifier,,0,O,ST,ST,11/2/14,
88,1,ACCIDENT CODE,,0,O,ST,ST,,
88,2,charge code,Berechnungsart,0,O,ST,ST,,
88,3,charge code,Berechnungsart,0,O,CE,CE,2/3/01,
88,4,charge code,,0,O,CE,CE,2/3/01,
88,5,charge code,,0,O,CE,CE,2/3/01,
88,6,Assigning Agency or Department,ausgebende Abteilung,0,O,CWE,CWE,9/1/03,
88,7,Assigning Agency or Department,ausgebende Abteilung,0,O,CWE,CWE,10/28/07,
88,9,Unit of Measure Description,,0,O,ST,ST,3/18/14,
88,61,Assigning Agency or Department,ausgebende Abteilung,0,O,CWE,CWE,5/10/07,
88,81,Unit of Measure Description,,0,O,ST,ST,3/29/13,
88,91,Unit of Measure Description,,0,O,ST,ST,11/2/14,
89,1,ACCIDENT LOCATION,,0,O,ST,ST,,
89,2,interpreter / technician,Person,0,O,CN,CN_PERSON,,4-35
89,6,Delay Days,,0,O,NM,NM,9/1/03,
89,7,Delay Days,,0,O,NM,NM,10/28/07,
89,9,Unit of Measure Coding System,,396,O,ID,ID,3/18/14,
89,61,Delay Days,,0,O,NM,NM,5/10/07,
89,81,Unit of Measure Coding System,,396,O,ID,ID,3/29/13,
89,91,Unit of Measure Coding System,,396,O,ID,ID,11/2/14,
90,1,ADMITTING DOCTOR,aufnehmender Arzt,0,O,ST,ST,,
90,2,location,,0,O,CM,CM_INTERNAL_LOCATION,,4-35
90,6,Monetary Amount,Geldbetrag,0,O,MO,MO,9/1/03,
90,7,Monetary Amount,Geldbetrag,0,O,MO,MO,10/28/07,
90,9,Alternate Unit of Measure Identifier,,0,O,ST,ST,3/18/14,
90,61,Monetary Amount,Geldbetrag,0,O,MO,MO,5/10/07,
90,81,Alternate Unit of Measure Identifier,,0,O,ST,ST,3/29/13,
90,91,Alternate Unit of Measure Identifier,,0,O,ST,ST,11/2/14,
91,6,Number of Days,,0,O,NM,NM,9/1/03,
91,7,Number of Days,,0,O,NM,NM,10/28/07,
91,9,Alternate Unit of Measure Description,,0,O,ST,ST,3/18/14,
91,61,Number of Days,,0,O,NM,NM,5/10/07,
91,81,Alternate Unit of Measure Description,,0,O,ST,ST,3/29/13,
91,91,Alternate Unit of Measure Description,,0,O,ST,ST,11/2/14,
92,6,Date,Datum,0,O,TS,TS,9/1/03,
92,7,Date,Datum,0,O,DTM,DTM,10/28/07,
92,9,Alternate Unit of Measure Coding System,,396,O,ID,ID,3/18/14,
92,61,Date,Datum,0,O,TS,TS,5/10/07,
92,81,Alternate Unit of Measure Coding System,,396,O,ID,ID,3/29/13,
92,91,Alternate Unit of Measure Coding System,,396,O,ID,ID,11/2/14,
93,6,Institution Name,Institutionsname,531,O,CE,CE,9/1/03,
93,7,Institution Name,Institutionsname,531,O,CWE,CWE,10/26/07,
93,9,Unit of Measure Coding System Version ID,,0,O,ST,ST,3/18/14,
93,61,Institution Name,Institutionsname,531,O,CE,CE,5/10/07,
93,81,Unit of Measure Coding System Version ID,,0,O,ST,ST,3/29/13,
93,91,Unit of Measure Coding System Version ID,,0,O,ST,ST,11/2/14,
94,6,Discharge Location,,113,O,IS,IS,9/1/03,
94,7,Discharge to Location,,113,O,CWE,CWE,10/26/07,
94,9,Alternate Unit of Measure Coding System Version ID,,0,O,ST,ST,3/18/14,
94,61,Discharge Location,,113,O,IS,IS,5/10/07,
94,81,Alternate Unit of Measure Coding System Version ID,,0,O,ST,ST,3/29/13,
94,91,Alternate Unit of Measure Coding System Version ID,,0,O,ST,ST,11/2/14,
95,6,Effective Date,Gültigkeitsbeginn,0,O,TS,TS,9/1/03,
95,7,Effective Date,Gültigkeitsbeginn,0,O,DTM,DTM,10/28/07,
95,9,Original Text,Originaltext,0,O,ST,ST,3/18/14,
95,61,Effective Date,Gültigkeitsbeginn,0,O,TS,TS,5/10/07,
95,81,Original Text,Originaltext,0,O,ST,ST,3/29/13,
95,91,Original Text,Originaltext,0,O,ST,ST,11/2/14,
96,6,License Number,,0,O,ST,ST,9/1/03,
96,7,License Number,,0,O,ST,ST,10/28/07,
96,9,Second Alternate Unit of Measure Identifier,,0,O,ST,ST,3/18/14,
96,61,License Number,,0,O,ST,ST,5/10/07,
96,81,Second Alternate Unit of Measure Identifier,,0,O,ST,ST,3/29/13,
96,91,Second Alternate Unit of Measure Identifier,,0,O,ST,ST,11/2/14,
97,1,CONTRACT CODE,nicht verwendet,0,O,ST,ST,,
97,2,authorization number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,,6-16
97,3,authorization number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,,6-28
97,4,authorization number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,4/14/99,6-28
97,5,authorization number,Aktenzeichen der Kostenübernahme,0,O,ST,ST,7/8/00,6-28
97,6,"Issuing State, Province, Country",Ausstellende Behörde,333,O,IS,IS,9/1/03,
97,7,"Issuing State, Province, Country",Ausstellende Behörde,333,O,IS,IS,10/26/07,
97,9,Second Alternate Unit of Measure Text,,0,O,ST,ST,3/18/14,
97,61,"Issuing State, Province, Country",Ausstellende Behörde,333,O,IS,IS,5/10/07,
97,81,Second Alternate Unit of Measure Text,,0,O,ST,ST,3/29/13,
97,91,Second Alternate Unit of Measure Text,,0,O,ST,ST,11/2/14,
98,1,CONTRACT EFFECTIVE DATE,nicht verwendet,0,O,ST,ST,,
98,2,date,Datum,0,O,DT,DT,,6-16
98,6,Expiration Date,Gültigkeitsende,0,O,DT,DT,9/1/03,
98,7,Expiration Date,Gültigkeitsende,0,O,DT,DT,10/28/07,
98,9,Name of Second Alternate Unit of Measure Coding Sy,,396,O,ID,ID,3/18/14,
98,61,Expiration Date,Gültigkeitsende,0,O,DT,DT,5/10/07,
98,81,Name of Second Alternate Unit of Measure Coding Sy,,396,O,ID,ID,3/29/13,
98,91,Name of Second Alternate Unit of Measure Coding Sy,,396,O,ID,ID,11/2/14,
99,1,CONTRACT AMOUNT,nicht verwendet,0,O,ST,ST,,
99,2,source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,,6-16
99,3,source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,2/2/01,6-16
99,4,source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,2/2/01,6-16
99,5,source,Aktenzeichen der Kostenübernahme,0,O,ST,ST,2/2/01,6-16
99,6,Normal Range,,0,O,NR,NR,9/1/03,
99,7,Normal Range,,0,O,NR,NR,10/28/07,
99,9,Second Alternate Unit of Measure Coding System Ver,,0,O,ST,ST,3/18/14,
99,61,Normal Range,,0,O,NR,NR,5/10/07,
99,81,Second Alternate Unit of Measure Coding System Ver,,0,O,ST,ST,3/29/13,
99,91,Second Alternate Unit of Measure Coding System Ver,,0,O,ST,ST,11/2/14,
100,1,CONTRACT PERIOD,nicht verwendet,0,O,ST,ST,,
100,2,room type,Zimmertyp / Kostenanteil,145,O,ID,ID,,6-23
100,6,Numeric Threshold,,0,O,NM,NM,9/1/03,
100,7,Numeric Threshold,,0,O,NM,NM,10/28/07,
100,9,Unit of Measure Coding System OID,,0,O,ST,ST,3/18/14,
100,61,Numeric Threshold,,0,O,NM,NM,5/10/07,
100,81,Unit of Measure Coding System OID,,0,O,ST,ST,3/29/13,
100,91,Unit of Measure Coding System OID,,0,O,ST,ST,11/2/14,
101,1,TRANSFER TO BAD DEBT CODE,nicht verwendet,0,O,ST,ST,,
101,2,amount type,Mengentyp,146,O,ID,ID,,
101,3,amount type,Mengentyp,146,O,IS,IS,,
101,4,amount type,Mengentyp,146,O,IS,IS,4/14/99,
101,5,amount type,Mengentyp,146,O,IS,IS,7/8/00,
101,6,Change Computation,,523,O,ID,ID,9/1/03,
101,7,Change Computation,,523,O,ID,ID,10/26/07,
101,9,Unit of Measure Value Set OID,,0,O,ST,ST,3/18/14,
101,61,Change Computation,,523,O,ID,ID,5/10/07,
101,81,Unit of Measure Value Set OID,,0,O,ST,ST,3/29/13,
101,91,Unit of Measure Value Set OID,,0,O,ST,ST,11/2/14,
102,1,BAD DEBT AGENCY CODE,nicht verwendet,0,O,ST,ST,,
102,2,coverage amount,Kostenanteil,0,O,NM,NM,,
102,3,coverage amount,Kostenanteil,0,O,NM,NM,,
102,4,coverage amount,Kostenanteil,0,O,NM,NM,4/14/99,
102,5,coverage amount,Kostenanteil,0,O,NM,NM,7/8/00,
102,6,Days Retained,,0,O,NM,NM,9/1/03,
102,7,Days Retained,,0,O,NM,NM,10/28/07,
102,9,Unit of Measure Value Set Version ID,,0,O,DTM,DTM,3/18/14,
102,61,Days Retained,,0,O,NM,NM,5/10/07,
102,81,Unit of Measure Value Set Version ID,,0,O,DTM,DTM,3/29/13,
102,91,Unit of Measure Value Set Version ID,,0,O,DTM,DTM,11/2/14,
103,1,DELETE ACCOUNT INDICATOR,nicht verwendet,0,O,ST,ST,,
103,2,policy type,Art und Umfang der Versicherung,147,O,ID,ID,,
103,3,policy type,Art und Umfang der Versicherung,147,O,IS,IS,,6-38
103,4,policy type,Art und Umfang der Versicherung,147,O,IS,IS,4/14/99,6-38
103,5,policy type,Art und Umfang der Versicherung,147,O,IS,IS,7/8/00,6-38
103,6,Range Start Date/Time,Anfangszeitpunkt,0,O,TS,TS,9/1/03,
103,7,Range Start Date/Time,Anfangszeitpunkt,0,O,DTM,DTM,10/28/07,
103,9,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,3/18/14,
103,61,Range Start Date/Time,Anfangszeitpunkt,0,O,TS,TS,5/10/07,
103,81,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,3/29/13,
103,91,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,11/2/14,
104,1,DELETE ACCOUNT DATE,nicht verwendet,0,O,ST,ST,,
104,2,amount class,Art und Umfang der Versicherung,193,O,ID,ID,,
104,3,amount class,Art und Umfang der Versicherung,193,O,IS,IS,,
104,4,amount class,Art und Umfang der Versicherung,193,O,IS,IS,4/14/99,
104,5,amount class,Art und Umfang der Versicherung,193,O,IS,IS,7/8/00,
104,6,Range End Date/Time,Endzeitpunkt,0,O,TS,TS,9/1/03,
104,7,Range End Date/Time,Endzeitpunkt,0,O,DTM,DTM,10/28/07,
104,9,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,3/18/14,
104,61,Range End Date/Time,Endzeitpunkt,0,O,TS,TS,5/10/07,
104,81,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,3/29/13,
104,91,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,11/2/14,
105,1,ADMISSION TYPE,Aufnahmeart,0,O,ST,ST,,
105,2,Saal,Saal,0,A,ST,ST,,GSG
105,6,Date,Datum,0,O,DT,DT,9/1/03,
105,7,Date,Datum,0,O,DT,DT,10/28/07,
105,9,Alternate Unit of Measure Value Set Version ID,,0,O,DTM,DTM,3/18/14,
105,61,Date,Datum,0,O,DT,DT,5/10/07,
105,81,Alternate Unit of Measure Value Set Version ID,,0,O,DTM,DTM,3/29/13,
105,91,Alternate Unit of Measure Value Set Version ID,,0,O,DTM,DTM,11/2/14,
106,1,PRE-ADMIT NUMBER,Vor-Aufnahmenummer,0,O,ST,ST,,
106,2,Tisch,Sitzplatz,0,A,ST,ST,,GSG
106,6,Date/Time,Zeitpunkt,0,O,DTM,DTM,9/1/03,
106,7,Date/Time,Zeitpunkt,0,O,DTM,DTM,10/28/07,
106,9,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,3/18/14,
106,61,Date/Time,Zeitpunkt,0,O,DTM,DTM,5/10/07,
106,81,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,3/29/13,
106,91,Alternate Unit of Measure Coding System OID,,0,O,ST,ST,11/2/14,
107,1,PRE-ADMIT TEST INDICATOR,"Hinweis auf Untersuchungsprog.d, for der Aufn.d.Pa",0,O,ST,ST,,
107,2,Stuhl,Stuhl,0,A,ST,ST,,GSG
107,6,Day Type,nicht verwendet,149,O,IS,IS,9/1/03,
107,7,Day Type,nicht verwendet,149,O,IS,IS,10/26/07,
107,9,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,3/18/14,
107,61,Day Type,nicht verwendet,149,O,IS,IS,5/10/07,
107,81,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,3/29/13,
107,91,Alternate Unit of Measure Value Set OID,,0,O,ST,ST,11/2/14,
108,1,RE-ADMISSION INDICATOR,"Kennzeichen, ob eine Wiederaufnahme vorliegt",0,O,ST,ST,,
108,2,Dispense / Deliver to Location,Lieferadresse,0,O,CM,CM_INTERNAL_LOCATION,,4-51
108,6,Number of Days,nicht verwendet,0,O,NM,NM,9/1/03,
108,7,Number of Days,nicht verwendet,0,O,NM,NM,10/28/07,
108,9,Alternate Unit of Measure Value Set Version ID,,0,O,ST,ST,3/18/14,
108,61,Number of Days,nicht verwendet,0,O,NM,NM,5/10/07,
108,81,Alternate Unit of Measure Value Set Version ID,,0,O,ST,ST,3/29/13,
108,91,Alternate Unit of Measure Value Set Version ID,,0,O,ST,ST,11/2/14,
109,1,NEXT OF KIN - ADDRESS,Adresse des zu Benachrichtigenden,0,O,ST,ST,,
109,2,Procedure Practitioner  ID,ausführender Arzt,10,O,CN,CN_PERSON,,6-10
109,6,Source Application,Datenquelle,0,O,HD,HD,9/1/03,
109,7,Source Application,Datenquelle,0,O,HD,HD,10/28/07,
109,9,Identifier,Schlüssel,0,O,ST,ST,3/18/14,
109,61,Source Application,Datenquelle,0,O,HD,HD,5/10/07,
109,81,Identifier,Schlüssel,0,O,ST,ST,3/29/13,
109,91,Identifier,Schlüssel,0,O,ST,ST,11/2/14,
110,1,NEXT OF KIN - PHONE NUMBER,Telefonnummer des zu Benachrichtigenden,0,O,ST,ST,,
110,2,delay days,,0,O,ST,ST,,6-23
110,3,delay days,,0,O,NM,NM,,6-23
110,4,delay days,,0,O,NM,NM,,6-23
110,5,delay days,,0,O,NM,NM,,6-23
110,6,Type of Data,MIME-Medientyp,191,O,ID,ID,9/1/03,
110,7,Type of Data,MIME-Medientyp,834,O,ID,ID,10/26/07,
110,9,Text,Text,0,O,ST,ST,3/18/14,
110,61,Type of Data,MIME-Medientyp,191,O,ID,ID,5/10/07,
110,81,Text,Text,0,O,ST,ST,3/29/13,
110,91,Text,Text,0,O,ST,ST,11/2/14,
111,1,SET ID - INSURANCE,Transaktionskennung,0,O,ST,ST,,
111,2,Penalty ID,nicht verwendet,148,O,ID,ID,,6-26
111,3,penalty type,,148,O,IS,IS,,6-46
111,4,money or percentage indicator,,148,O,IS,IS,4/14/99,6-46
111,5,money or percentage indicator,,148,O,IS,IS,7/8/00,6-46
111,6,Data Subtype,MIME-Subtyp,291,O,ID,ID,9/1/03,
111,7,Data Subtype,MIME-Subtyp,291,O,ID,ID,10/26/07,
111,9,Name of Coding System,Kodiersystem,396,O,ID,ID,3/18/14,
111,61,Data Subtype,MIME-Subtyp,291,O,ID,ID,5/10/07,
111,81,Name of Coding System,Kodiersystem,396,O,ID,ID,3/29/13,
111,91,Name of Coding System,Kodiersystem,396,O,ID,ID,11/2/14,
112,1,INSURANCE COMPANY ID,Krankenkassennummer,0,O,ST,ST,,
112,2,pre-certification patient type,nicht verwendet,150,O,ID,ID,,6-28
112,3,pre-certification patient type,nicht verwendet,150,O,IS,IS,,6-48
112,4,pre-certification patient type,nicht verwendet,150,O,IS,IS,4/14/99,6-48
112,5,pre-certification patient type,nicht verwendet,150,O,IS,IS,7/8/00,6-48
112,6,Encoding,Kodierung,299,O,ID,ID,9/1/03,
112,7,Encoding,Kodierung,299,O,ID,ID,10/26/07,
112,9,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,3/18/14,
112,61,Encoding,Kodierung,299,O,ID,ID,5/10/07,
112,81,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,3/29/13,
112,91,Alternate Identifier,alternativer Schlüssel,0,O,ST,ST,11/2/14,
113,1,INSURANCE COMPANY NAME,Krankenkassenbezeichnung,0,O,ST,ST,,
113,6,Data,Daten,0,O,TX,TX,9/1/03,
113,7,Data,Daten,0,O,TX,TX,10/28/07,
113,9,Alternate Text,alternativer Text,0,O,ST,ST,3/18/14,
113,61,Data,Daten,0,O,TX,TX,5/10/07,
113,81,Alternate Text,alternativer Text,0,O,ST,ST,3/29/13,
113,91,Alternate Text,alternativer Text,0,O,ST,ST,11/2/14,
114,1,INSURANCE COMPANY ADDRESS,Anschrift der Krankenkasse,0,O,ST,ST,,
114,2,occurrence code,nicht verwendet,0,O,ID,ID,,6-31
114,3,occurrence code,nicht verwendet,0,O,CE,CE,,6-53
114,4,occurrence code,nicht verwendet,0,O,ID,ID,4/14/99,6-53
114,5,occurrence code,nicht verwendet,0,O,IS,IS,7/8/00,6-53
114,6,Entity Identifier,Identifikator,0,O,ST,ST,9/1/03,
114,7,Entity Identifier,Identifikator,0,O,ST,ST,10/28/07,
114,9,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,3/18/14,
114,61,Entity Identifier,Identifikator,0,O,ST,ST,5/10/07,
114,81,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,3/29/13,
114,91,Name of Alternate Coding System,alternatives Kodiersystem,396,O,ID,ID,11/2/14,
115,1,INSURANCE CO. CONTACT PERS,Ansprechpartner bei der Krankenkasse,0,O,ST,ST,,
115,2,Value code,nicht verwendet,0,O,ID,ID,,6-31
115,3,value code,nicht verwendet,153,O,IS,IS,,6-51
115,4,value code,nicht verwendet,153,O,IS,IS,4/14/99,6-51
115,5,value code,nicht verwendet,153,O,IS,IS,7/8/00,6-51
115,6,Namespace ID,ausgebende Instanz - Identifikator,363,O,IS,IS,9/1/03,
115,7,Namespace ID,ausgebende Instanz - Identifikator,363,O,IS,IS,10/26/07,
115,9,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,3/18/14,
115,61,Namespace ID,ausgebende Instanz - Identifikator,363,O,IS,IS,5/10/07,
115,81,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,3/29/13,
115,91,Coding System Version ID,Version des Kodiersystems,0,O,ST,ST,11/2/14,
116,1,INSURANCE CO PHONE NUMBER,Telefonnummer der Krankenkasse,0,O,ST,ST,,
116,2,occurrence span code,nicht verwendet,0,O,ID,ID,,6-34
116,3,occurrence span code,nicht verwendet,0,O,CE,CE,,6-54
116,4,occurrence span code,nicht verwendet,0,O,CE,CE,4/14/99,6-54
116,5,occurrence span code,nicht verwendet,0,O,CE,CE,7/8/00,6-54
116,6,Universal ID,"ausgebende Instanz - Identifikator, univers. Form",0,O,ST,ST,9/1/03,
116,7,Universal ID,"ausgebende Instanz - Identifikator, univers. Form",0,O,ST,ST,10/28/07,
116,9,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,3/18/14,
116,61,Universal ID,"ausgebende Instanz - Identifikator, univers. Form",0,O,ST,ST,5/10/07,
116,81,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,3/29/13,
116,91,Alternate Coding System Version ID,Version des alternativen Kodiersystems,0,O,ST,ST,11/2/14,
117,1,GROUP NUMBER,Krankenkassentypnummer,0,O,ST,ST,,
117,2,Date,Datum,0,O,TS,TS,,8-15
117,3,date,Datum,0,O,TS,TS,,8-16 (B)
117,4,date,Datum,0,O,TS,TS,4/14/99,8-16 (B)
117,5,date,Datum,0,O,TS,TS,7/8/00,8-16 (B)
117,6,Universal ID Type,Typ der Universal ID,301,O,ID,ID,9/1/03,
117,7,Universal ID Type,Typ der Universal ID,301,O,ID,ID,10/26/07,
117,9,Original Text,Originaltext,0,O,ST,ST,3/18/14,
117,61,Universal ID Type,Typ der Universal ID,301,O,ID,ID,5/10/07,
117,81,Original Text,Originaltext,0,O,ST,ST,3/29/13,
117,91,Original Text,Originaltext,0,O,ST,ST,11/2/14,
118,1,GROUP NAME,"Krankenkassentyp (Ersatzkasse, AOK, BKK, etc.)",0,O,ST,ST,,
118,2,specialty name,,0,O,ST,ST,,8-17
118,3,specialty name,,0,O,ST,ST,,8-17 (B)
118,4,specialty name,,0,O,ST,ST,4/14/99,8-17 (B)
118,5,specialty name,,0,O,ST,ST,7/8/00,8-17 (B)
118,6,Placer Assigned Identifier,,0,O,EI,EI,9/1/03,
118,7,Placer Assigned Identifier,,0,O,EI,EI,10/28/07,
118,9,Second Alternate Identifier,,0,O,ST,ST,3/18/14,
118,61,Placer Assigned Identifier,,0,O,EI,EI,5/10/07,
118,81,Second Alternate Identifier,,0,O,ST,ST,3/29/13,
118,91,Second Alternate Identifier,,0,O,ST,ST,11/2/14,
119,1,INSURED'S GROUP EMP. ID,nicht verwendet,0,O,ST,ST,,
119,2,ID number,,0,O,ST,ST,,8-17
119,3,ID number,Identifikator,0,O,ST,ST,,2-78
119,4,ID number (NM),Identifikator,0,O,NM,NM,4/14/99,2-78
119,5,ID number (NM),Identifikator,0,O,NM,NM,7/8/00,2-78
119,6,Filler Assigned Identifier,,0,O,EI,EI,9/1/03,
119,7,Filler Assigned Identifier,,0,O,EI,EI,10/28/07,
119,9,Second Alternate Text,,0,O,ST,ST,3/18/14,
119,61,Filler Assigned Identifier,,0,O,EI,EI,5/10/07,
119,81,Second Alternate Text,,0,O,ST,ST,3/29/13,
119,91,Second Alternate Text,,0,O,ST,ST,11/2/14,
120,1,INSURED'S GROUP EMP. NAME,nicht verwendet,0,O,ST,ST,,
120,2,Privilege,,0,O,CE,CE,,8-18
120,3,privilege,,0,O,CE,CE,,8-18 (B)
120,4,privilege,,0,O,CE,CE,4/14/99,8-18 (B)
120,5,privilege,,0,O,CE,CE,7/8/00,8-18 (B)
120,6,Segment ID,Segmentbezeichnung,0,O,ST,ST,9/1/03,
120,7,Segment ID,Segmentbezeichnung,0,O,ST,ST,10/28/07,
120,9,Name of Second Alternate Coding System,,396,O,ID,ID,3/18/14,
120,61,Segment ID,Segmentbezeichnung,0,O,ST,ST,5/10/07,
120,81,Name of Second Alternate Coding System,,396,O,ID,ID,3/29/13,
120,91,Name of Second Alternate Coding System,,396,O,ID,ID,11/2/14,
121,1,PLAN EFFECTIVE DATE,Kostenübernahme ab,0,O,ST,ST,,
121,2,location,,0,O,AD,AD,,4-51
121,6,Segment Sequence,Segmentnummer,0,O,NM,NM,9/1/03,
121,7,Segment Sequence,Segmentnummer,0,O,NM,NM,10/28/07,
121,9,Second Alternate Coding System Version ID,,0,O,ST,ST,3/18/14,
121,61,Segment Sequence,Segmentnummer,0,O,NM,NM,5/10/07,
121,81,Second Alternate Coding System Version ID,,0,O,ST,ST,3/29/13,
121,91,Second Alternate Coding System Version ID,,0,O,ST,ST,11/2/14,
122,1,PLAN EXPIRATION DATE,Kostenübernahme bis,0,O,ST,ST,,
122,2,amount,Betrag,0,O,NM,NM,,6-23
122,3,amount,Betrag,0,O,NM,NM,,
122,4,amount,Betrag,0,O,NM,NM,4/14/99,
122,5,amount,Betrag,0,O,NM,NM,7/8/00,
122,6,Field Position,Feldnummer,0,O,NM,NM,9/1/03,
122,7,Field Position,Feldnummer,0,O,NM,NM,10/28/07,
122,9,Coding System OID,,0,O,ST,ST,3/18/14,
122,61,Field Position,Feldnummer,0,O,NM,NM,5/10/07,
122,81,Coding System OID,,0,O,ST,ST,3/29/13,
122,91,Coding System OID,,0,O,ST,ST,11/2/14,
123,1,AUTHORIZATION INFORMATION,Aktenzeichen der Kostenübernahme,0,O,ST,ST,,
123,2,number of days,,0,O,NM,NM,,6-26
123,3,number of days,,0,O,NM,NM,,
123,4,number of days,nicht verwendet,0,O,NM,NM,4/14/99,
123,5,number of days,nicht verwendet,0,O,NM,NM,7/8/00,
123,6,Code Identifying Error,,357,O,CE,CE,9/1/03,
123,7,Code Identifying Error,,357,O,CWE,CWE,10/26/07,
123,9,Value Set OID,,0,O,ST,ST,3/18/14,
123,61,Code Identifying Error,,357,O,CE,CE,5/10/07,
123,81,Value Set OID,,0,O,ST,ST,3/29/13,
123,91,Value Set OID,,0,O,ST,ST,11/2/14,
124,1,PLAN TYPE,nciht verwendet,0,O,ST,ST,,
124,2,penalty amount,,0,O,NM,NM,,6-26
124,3,penalty amount,,0,O,NM,NM,2/3/01,
124,4,money or percentage quantity,,0,O,NM,NM,2/3/01,
124,5,money or percentage quantity,,0,O,NM,NM,2/3/01,
124,6,Segment ID,Segmentbezeichnung,0,O,ST,ST,9/1/03,
124,7,Segment ID,Segmentbezeichnung,0,O,ST,ST,10/28/07,
124,9,Value Set Version ID,,0,O,DTM,DTM,3/18/14,
124,61,Segment ID,Segmentbezeichnung,0,O,ST,ST,5/10/07,
124,81,Value Set Version ID,,0,O,DTM,DTM,3/29/13,
124,91,Value Set Version ID,,0,O,DTM,DTM,11/2/14,
125,1,NAME OF INSURED,Name des Verischerten,0,O,ST,ST,,
125,2,pre-certication required,,0,O,ID,ID,,6-28
125,6,Segment Sequence,Segmentnummer,0,O,NM,NM,9/1/03,
125,7,Segment Sequence,Segmentnummer,0,O,NM,NM,10/28/07,
125,9,Alternate Coding System OID,,0,O,ST,ST,3/18/14,
125,61,Segment Sequence,Segmentnummer,0,O,NM,NM,5/10/07,
125,81,Alternate Coding System OID,,0,O,ST,ST,3/29/13,
